ray.origin.x, ray.origin.y, ray.origin.z, ray.direction.x, ray.direction.y, ray.direction.z
-0.004444, 0.995556, -1.000000, 0.004444, -0.995556, 1.000000
0.004444, 0.995556, -1.000000, -0.004444, -0.995556, 1.000000
0.013333, 0.995556, -1.000000, -0.013333, -0.995556, 1.000000
0.022222, 0.995556, -1.000000, -0.022222, -0.995556, 1.000000
0.031111, 0.995556, -1.000000, -0.031111, -0.995556, 1.000000
0.040000, 0.995556, -1.000000, -0.040000, -0.995556, 1.000000
0.048889, 0.995556, -1.000000, -0.048889, -0.995556, 1.000000
0.057778, 0.995556, -1.000000, -0.057778, -0.995556, 1.000000
0.066667, 0.995556, -1.000000, -0.066667, -0.995556, 1.000000
0.075556, 0.995556, -1.000000, -0.075556, -0.995556, 1.000000
0.084444, 0.995556, -1.000000, -0.084444, -0.995556, 1.000000
0.093333, 0.995556, -1.000000, -0.093333, -0.995556, 1.000000
0.102222, 0.995556, -1.000000, -0.102222, -0.995556, 1.000000
0.111111, 0.995556, -1.000000, -0.111111, -0.995556, 1.000000
0.120000, 0.995556, -1.000000, -0.120000, -0.995556, 1.000000
0.128889, 0.995556, -1.000000, -0.128889, -0.995556, 1.000000
0.137778, 0.995556, -1.000000, -0.137778, -0.995556, 1.000000
0.146667, 0.995556, -1.000000, -0.146667, -0.995556, 1.000000
0.155556, 0.995556, -1.000000, -0.155556, -0.995556, 1.000000
0.164444, 0.995556, -1.000000, -0.164444, -0.995556, 1.000000
0.173333, 0.995556, -1.000000, -0.173333, -0.995556, 1.000000
0.182222, 0.995556, -1.000000, -0.182222, -0.995556, 1.000000
0.191111, 0.995556, -1.000000, -0.191111, -0.995556, 1.000000
0.200000, 0.995556, -1.000000, -0.200000, -0.995556, 1.000000
0.208889, 0.995556, -1.000000, -0.208889, -0.995556, 1.000000
0.217778, 0.995556, -1.000000, -0.217778, -0.995556, 1.000000
0.226667, 0.995556, -1.000000, -0.226667, -0.995556, 1.000000
0.235556, 0.995556, -1.000000, -0.235556, -0.995556, 1.000000
0.244444, 0.995556, -1.000000, -0.244444, -0.995556, 1.000000
0.253333, 0.995556, -1.000000, -0.253333, -0.995556, 1.000000
